param,repetition,real_time,user_time,sys_time,max_memory,real_time_mean,real_time_ci,user_time_mean,sys_time_mean,max_memory_mean
chr10a,1,0.25,0.0,0.03,1364.0,0.2475,0.007956115763210665,0.0,0.03,1368.0
chr10a,2,0.25,0.0,0.03,1368.0,0.2475,0.007956115763210665,0.0,0.03,1368.0
chr10a,3,0.24,0.0,0.03,1372.0,0.2475,0.007956115763210665,0.0,0.03,1368.0
chr10a,4,0.25,0.0,0.03,1368.0,0.2475,0.007956115763210665,0.0,0.03,1368.0
chr12a,1,0.25,0.0,0.03,1360.0,0.2475,0.007956115763210665,0.0,0.03,1369.0
chr12a,2,0.25,0.0,0.03,1376.0,0.2475,0.007956115763210665,0.0,0.03,1369.0
chr12a,3,0.24,0.0,0.03,1376.0,0.2475,0.007956115763210665,0.0,0.03,1369.0
chr12a,4,0.25,0.0,0.03,1364.0,0.2475,0.007956115763210665,0.0,0.03,1369.0
