param,repetition,real_time,user_time,sys_time,max_memory,real_time_mean,real_time_ci,user_time_mean,sys_time_mean,max_memory_mean
10,1,0.02,0.02,0.0,1332.0,0.02,0.0,0.02,0.0,1354.6666666666667
10,2,0.02,0.02,0.0,1408.0,0.02,0.0,0.02,0.0,1354.6666666666667
10,3,0.02,0.02,0.0,1324.0,0.02,0.0,0.02,0.0,1354.6666666666667
14,1,12.25,12.23,0.0,1352.0,12.26,0.043026527299111834,12.24,0.0,1346.6666666666667
14,2,12.28,12.26,0.0,1364.0,12.26,0.043026527299111834,12.24,0.0,1346.6666666666667
14,3,12.25,12.23,0.0,1324.0,12.26,0.043026527299111834,12.24,0.0,1346.6666666666667
