param,repetition,real_time,user_time,sys_time,max_memory,real_time_mean,real_time_ci,user_time_mean,sys_time_mean,max_memory_mean
small,1,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,908.0
small,2,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,908.0
small,3,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,908.0
medium,1,0.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0,945.3333333333334
medium,2,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,945.3333333333334
medium,3,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,945.3333333333334
